Date,Title,Quantity Sold,Total Revenue
2026-02-06 00:00:00,Working Effectively with Legacy Code,1,41.99
2026-02-07 00:00:00,Release It!,1,36.99
2026-02-08 00:00:00,Building Microservices,1,39.5
2026-02-09 00:00:00,Accelerate,2,49.98
2026-02-10 00:00:00,Database Internals,1,43.99
2026-02-11 00:00:00,Designing Distributed Systems,1,33.99
2026-02-12 00:00:00,Grokking Algorithms,3,83.97
2026-02-13 00:00:00,Hands-On Machine Learning,1,49.99
2026-02-14 00:00:00,Deep Learning,1,59.99
2026-02-15 00:00:00,Artificial Intelligence: A Modern Approach,1,89.99
2026-02-16 00:00:00,Fluent Python,2,91.98
2026-02-17 00:00:00,Effective Java,1,41.5
2026-02-18 00:00:00,Clean Architecture,2,75.98
2026-02-19 00:00:00,Domain Modeling Made Functional,1,34.99
2026-02-20 00:00:00,Functional Programming in Scala,1,42.99
2026-02-21 00:00:00,Real-World Functional Programming,1,38.5
2026-02-22 00:00:00,Python for Data Analysis,2,79.98
2026-02-23 00:00:00,Hands-On Data Analysis with Pandas,1,44.99
2026-02-24 00:00:00,R for Data Science,2,71.98
2026-02-25 00:00:00,Storytelling with Data,3,86.97
2026-02-26 00:00:00,Data Science for Business,1,36.5
2026-02-27 00:00:00,Practical Statistics for Data Scientists,2,65.98
2026-02-28 00:00:00,Introduction to Statistical Learning,1,49.99
2026-03-01 00:00:00,Pattern Recognition and Machine Learning,1,69.99
2026-03-02 00:00:00,Think Stats,4,99.96
2026-03-03 00:00:00,Practical Time Series Analysis,2,63.98
2026-03-04 00:00:00,Forecasting: Principles and Practice,1,0.0
2026-03-05 00:00:00,Time Series Analysis and Its Applications,1,69.99
2026-03-06 00:00:00,The Great Gatsby,7,90.93
2026-03-07 00:00:00,1984,4,62.0
2026-03-08 00:00:00,To Kill a Mockingbird,3,44.97
2026-03-09 00:00:00,Clean Code,2,79.98
2026-03-10 00:00:00,Python Crash Course,5,149.95
2026-03-11 00:00:00,Pride and Prejudice,8,79.92
2026-03-12 00:00:00,Atomic Habits,6,101.94
2026-03-13 00:00:00,Dune,2,39.98
2026-03-14 00:00:00,Sapiens,3,56.25
2026-03-15 00:00:00,The Hobbit,5,72.5
2026-03-16 00:00:00,Thinking Fast and Slow,3,68.97
2026-03-17 00:00:00,Eloquent JavaScript,2,63.98
2026-03-18 00:00:00,Head First Design Patterns,1,44.99
2026-03-19 00:00:00,The Alchemist,4,53.0
2026-03-20 00:00:00,Man's Search for Meaning,3,44.25
2026-03-21 00:00:00,Rich Dad Poor Dad,5,89.95
2026-03-22 00:00:00,The Subtle Art of Not Giving ,6,95.94
2026-03-23 00:00:00,Brave New World,3,48.75
2026-03-24 00:00:00,The Road,2,27.98
2026-03-25 00:00:00,Ender's Game,4,51.0
2026-03-26 00:00:00,The Name of the Wind,2,41.98
2026-03-27 00:00:00,Good Omens,5,74.95
2026-03-28 00:00:00,Educated,3,52.5
2026-03-29 00:00:00,The Power of Habit,4,67.0
2026-03-30 00:00:00,JavaScript: The Good Parts,2,57.98
2026-03-31 00:00:00,Refactoring,1,42.5
2026-04-01 00:00:00,The Lean Startup,3,65.97
2026-04-02 00:00:00,Quiet,3,45.75
2026-04-03 00:00:00,The Four Agreements,4,51.96
2026-04-04 00:00:00,Born a Crime,2,33.98
2026-04-05 00:00:00,Tools of Titans,2,59.98
2026-04-06 00:00:00,The Intelligent Investor,1,34.99
2026-04-07 00:00:00,Designing Data-Intensive Applications,1,49.99
2026-04-08 00:00:00,Domain-Driven Design,1,47.5
2026-04-09 00:00:00,The Pragmatic Programmer,2,77.98
2026-04-10 00:00:00,Working Effectively with Legacy Code,1,41.99

