Title,Author,Genre,Price,Quantity
Building Data Streaming Applications with Apache Kafka,Manish Kumar,Data Science,39.99,12
Learning Spark,Holden Karau,Data Science,45.99,7
Spark: The Definitive Guide,Bill Chambers,Data Science,54.99,6
Kafka: The Definitive Guide,Neha Narkhede,Data Science,49.99,8
Data Engineering with Python,Paul Crickard,Data Science,34.99,14
Fundamentals of Data Engineering,Joe Reis,Data Science,44.99,9
Cloud Data Management,Divyakant Agrawal,Data Science,59.99,5
Data Lakes for Dummies,Alan R. Simon,Data Science,0.0,0
Streaming Systems,Tyler Akidau,Data Science,49.99,7
Designing Event-Driven Systems,Ben Stopford,Data Science,39.99,11
Data Virtualization for Business Intelligence Systems,Rick van der Lans,Data Science,54.99,6
Data Wrangling with Python,Jacqueline Kazil,Data Science,29.99,13
Data Cleaning,Irene Y. Chen,Data Science,24.99,19
Data Visualization with Python,Kyran Dale,Data Science,34.99,15
Interactive Data Visualization for the Web,Scott Murray,Data Science,39.99,10
Storytelling with Data,Cole Nussbaumer Knaflic,Data Science,28.99,18
Data Points,Nathan Yau,Data Science,32.99,2
Information Dashboard Design,Stephen Few,Data Science,44.99,9
Visualizing Data,Ben Fry,Data Science,29.99,12
Data Visualization: A Practical Introduction,Kieran Healy,Data Science,39.99,11
Fundamentals of Data Visualization,Claus O. Wilke,Data Science,34.99,13
Data Science for Dummies,Lillian Pierson,Data Science,0.0,0
Python Data Science Handbook,Jake VanderPlas,Data Science,49.99,8
